Date time, Open, High, Low, Close, MA9, MA26, MA52, MA104, RSI
2021.09.22 00:00:00,1.36588000,1.36894000,1.36092000,1.36148000,1.37520000,1.37551846,1.37918096,1.39020019,34.70854263
2021.09.23 00:00:00,1.36153000,1.37503000,1.36120000,1.37191000,1.37397222,1.37538769,1.37900038,1.39011038,45.94212583
2021.09.24 00:00:00,1.37182000,1.37360000,1.36579000,1.36709000,1.37210667,1.37553500,1.37863692,1.38988231,41.65873538
2021.09.27 00:00:00,1.36616000,1.37285000,1.36567000,1.36986000,1.37089778,1.37582692,1.37839115,1.38970269,45.05064273
2021.09.28 00:00:00,1.36985000,1.37169000,1.35205000,1.35367000,1.36752000,1.37511423,1.37795327,1.38935019,34.67030808
2021.09.29 00:00:00,1.35348000,1.35548000,1.34115000,1.34253000,1.36342556,1.37395231,1.37747577,1.38890548,29.70539281
2021.09.30 00:00:00,1.34245000,1.35173000,1.34153000,1.34728000,1.36059889,1.37283577,1.37718173,1.38841135,34.02531408
2021.10.01 00:00:00,1.34709000,1.35755000,1.34332000,1.35427000,1.35932667,1.37223962,1.37685385,1.38785952,40.85670799
2021.10.04 00:00:00,1.35527000,1.36398000,1.35314000,1.36071000,1.35875556,1.37166500,1.37654731,1.38734615,44.88546735
2021.10.05 00:00:00,1.36061000,1.36477000,1.35845000,1.36253000,1.35887222,1.37116192,1.37631538,1.38693577,46.13269552
2021.10.06 00:00:00,1.36230000,1.36312000,1.35436000,1.35808000,1.35733556,1.37049577,1.37586115,1.38648548,43.49430486
2021.10.07 00:00:00,1.35807000,1.36379000,1.35701000,1.36154000,1.35671889,1.36990923,1.37535769,1.38602288,46.09343898
2021.10.08 00:00:00,1.36137000,1.36583000,1.35833000,1.36176000,1.35581889,1.36908654,1.37481442,1.38552288,46.42940568
2021.10.11 00:00:00,1.36181000,1.36734000,1.35839000,1.35937000,1.35645222,1.36807077,1.37410885,1.38495471,44.60145061
2021.10.12 00:00:00,1.35927000,1.36372000,1.35686000,1.35866000,1.35824444,1.36711846,1.37349308,1.38444875,44.09215761
2021.10.13 00:00:00,1.35858000,1.36644000,1.35752000,1.36577000,1.36029889,1.36663346,1.37305712,1.38393779,50.29999082
2021.10.14 00:00:00,1.36566000,1.37341000,1.36502000,1.36714000,1.36172889,1.36625038,1.37259154,1.38347721,51.36206718
